Date,Return
12/18/2013,-0.0013533999161544307
12/17/2013,-0.01372662303692573
12/16/2013,0.002916315794244335
12/13/2013,-0.011360929873616088
12/12/2013,0.008644486854241455
12/11/2013,0.006850708700926601
12/10/2013,0.006841287255465147
12/09/2013,-0.0060110562015781265
12/06/2013,-0.007670633831107206
12/05/2013,-0.011711764637801778
12/04/2013,0.0007944935341818938
12/03/2013,-0.004649476021330584
12/02/2013,0.0011583167063867242
11/29/2013,0.004845897323743055
11/27/2013,0.0033221384903631104
11/26/2013,-0.004421035507196501
11/25/2013,-0.011791226478271199
11/22/2013,-0.013423555379763698
11/21/2013,0.0021126420412833327
11/20/2013,-0.011372516784230862
11/19/2013,0.002826935264784224
11/18/2013,0.006193859491412936
11/15/2013,0.0019485906970018593
11/14/2013,0.0016157101571393525
